# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-06 02:01:00 EST,+77279.1+45458.3j,+95939.6+55237.9j,+104806+60912.9j,+76683.3+30040.9j,+79797.6+70409.7j,+122060+89230.4j
2000-01-06 03:01:00 EST,+77799.1+45764.2j,+98249.6+56567.9j,+106264+61760.5j,+75112+29425.3j,+75424.5+66551.1j,+122442+89509j
2000-01-06 04:01:00 EST,+78751.2+46324.3j,+94911.9+54646.2j,+102895+59802.3j,+81008.5+31735.3j,+71847.7+63395j,+121915+89124.2j
2000-01-06 05:01:00 EST,+73619.6+43305.6j,+91729.2+52813.8j,+106141+61689j,+77108.6+30207.5j,+75288.9+66431.3j,+121610+88900.8j
2000-01-06 06:01:00 EST,+75132.2+44195.4j,+93567.4+53872.2j,+110468+64203.8j,+80437+31511.4j,+73289.9+64667.5j,+120873+88362.5j
2000-01-06 07:01:00 EST,+78092.8+45936.9j,+97594.1+56190.5j,+103549+60182.3j,+77551.5+30381j,+78076.9+68891.4j,+120457+88058.4j
2000-01-06 08:01:00 EST,+78198.8+45999.3j,+97008.8+55853.6j,+100703+58528.5j,+76786.5+30081.3j,+71516.1+63102.4j,+122316+89417j
2000-01-06 09:01:00 EST,+76833.8+45196.4j,+99476.3+57274.2j,+100475+58395.6j,+75678.2+29647.1j,+72564.2+64027.2j,+120409+88022.9j
2000-01-06 10:01:00 EST,+73836+43432.9j,+98124.5+56495.9j,+102760+59723.7j,+81492.1+31924.7j,+71717.5+63280.2j,+122162+89304.8j
2000-01-06 11:01:00 EST,+74509.8+43829.3j,+94837.1+54603.2j,+102679+59677j,+75628.8+29627.8j,+76715.6+67690.2j,+120443+88048.3j
2000-01-06 12:01:00 EST,+78868.8+46393.4j,+101028+58167.7j,+110516+64231.3j,+82792.1+32434j,+78818.9+69546.1j,+121112+88537.4j
2000-01-06 13:01:00 EST,+73779.9+43400j,+101415+58390.7j,+102984+59854.2j,+77854+30499.5j,+77462.3+68349.1j,+123825+90520.5j
2000-01-06 14:01:00 EST,+76617.8+45069.3j,+95459.7+54961.6j,+105122+61096.7j,+75179.2+29451.6j,+78036.6+68855.8j,+120634+88187.8j
2000-01-06 15:01:00 EST,+78935.6+46432.7j,+99612.3+57352.5j,+107490+62473j,+76792.7+30083.7j,+79845.6+70452j,+123932+90598.7j
2000-01-06 16:01:00 EST,+73496.2+43233j,+92885.7+53479.6j,+109376+63569.1j,+80129.4+31390.9j,+76993.9+67935.8j,+121640+88923j
2000-01-06 17:01:00 EST,+78322.9+46072.3j,+96674.2+55660.9j,+110410+64170j,+82965+32501.8j,+70877.5+62539j,+121546+88854.2j
